1105022024446954311                                      ARQUIVOCAIXA1234500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2100000000000101012022202295647648163                                                          Alan Barbosa3112196900000000001                                                       Roberta Barbosa01000794.53100502202431122024000000000000000000009999291183PP15512842877583910000000
2100000000000201012022202212198169631                                                      Victor Czarnobay3112196900000000002                                                      Joana dos Santos01000064.91030502202431122024000000000000000000000000244842CC33910823679995710000000
2100000000000301012022202236787167523                                                        Pedro Monteiro3112196900000000003                                                       Roberta Barbosa01000578.79110502202431122024000000000000000000009999167907PP44450876935050020000000
2100000000000401012022202249489235788                                                      Joana dos Santos3112196900000000004                                                        Josefa Pereira01000026.71050502202431122024000000000000000000005555032816CD56864399120206810000000
2100000000000501012022202230714052278                                                       Carlos Fabrício3112196900000000005                                                        Josefa Pereira01001038.37060502202431122024000000000000000000000000130507CD20373172581459330000000
2100000000000601012022202233380777149                                                          Alan Barbosa3112196900000000006                                                        Josefa Pereira01000214.43050502202431122024000000000000000000000000567998PP80893782046437210000000
2100000000000701012022202231589952496                                                       Carlos Fabrício3112196900000000007                                                        Josefa Pereira01001030.08050502202431122024000000000000000000005555705164CC43794858550359820000000
2100000000000801012022202279867544938                                                        Maria da Silva3112196900000000008                                                        Josefa Pereira01000575.97100502202431122024000000000000000000009999768260PP12535584104642630000000
2100000000000901012022202295217509893                                                       Roberta Barbosa3112196900000000009                                                        Maria da Silva01000463.63090502202431122024000000000000000000005555499921CD51514611579619230000000
2100000000001001012022202297072492719                                                      Joana dos Santos3112196900000000010                                                        Maria da Silva01000127.13080502202431122024000000000000000000009999703897CC48269104869897310000000
2100000000001101012022202288687511928                                                       Carlos Fabrício3112196900000000011                                                       Roberta Barbosa01000036.83120502202431122024000000000000000000000000221358PP08210344101807530000000
2100000000001201012022202247901540256                                                       Carlos Fabrício3112196900000000012                                                        Josefa Pereira01000310.84010502202431122024000000000000000000009999942465PP10470040569977210000000
2100000000001301012022202276597808529                                                       Roberta Barbosa3112196900000000013                                                      Joana dos Santos01000090.75060502202431122024000000000000000000000000969901CD49160585689338810000000
2100000000001401012022202262653212579                                                        Pedro Monteiro3112196900000000014                                                        Maria da Silva01000456.17010502202431122024000000000000000000009999732858PP77162776184273110000000
2100000000001501012022202203679347134                                                     Cristiano Ronaldo3112196900000000015                                                        Josefa Pereira01000331.98110502202431122024000000000000000000009999424260PP19716881927598120000000
2100000000001601012022202258945868681                                                          Alan Barbosa3112196900000000016                                                        Maria da Silva01001012.18060502202431122024000000000000000000000000413262PP93600814928854610000000
2100000000001701012022202292502629024                                                       Carlos Fabrício3112196900000000017                                                       Roberta Barbosa01000670.55050502202431122024000000000000000000005555887359CD68885753403484230000000
2100000000001801012022202246081877939                                                      Victor Czarnobay3112196900000000018                                                        Josefa Pereira01000316.43020502202431122024000000000000000000009999999683PP10048999879545910000000
2100000000001901012022202222359948242                                                        Josefa Pereira3112196900000000019                                                        Maria da Silva01000101.12030502202431122024000000000000000000009999297831CC38250141494915730000000
2100000000002001012022202252574745698                                                          Alan Barbosa3112196900000000020                                                        Josefa Pereira01000540.90090502202431122024000000000000000000009999904530CD55983139464039310000000
2100000000002101012022202266673392388                                                      Victor Czarnobay3112196900000000021                                                       Roberta Barbosa01000871.81110502202431122024000000000000000000009999974882CD22847082677239910000000
2100000000002201012022202265396382005                                                        Josefa Pereira3112196900000000022                                                       Roberta Barbosa01000857.40020502202431122024000000000000000000005555785997CD96090658596625230000000
2100000000002301012022202257979935349                                                          Alan Barbosa3112196900000000023                                                        Josefa Pereira01000991.56030502202431122024000000000000000000005555726543CC81228621195315610000000
2100000000002401012022202278427201926                                                      Victor Czarnobay3112196900000000024                                                        Josefa Pereira01000208.93020502202431122024000000000000000000000000869419CC85490382887330310000000
2100000000002501012022202255923362583                                                        Maria da Silva3112196900000000025                                                        Maria da Silva01000210.78040502202431122024000000000000000000005555099998PP24156105086922820000000
2100000000002601012022202242870777957                                                       Roberta Barbosa3112196900000000026                                                        Josefa Pereira01000584.85020502202431122024000000000000000000000000946176PP30705125593492430000000
2100000000002701012022202262699604071                                                        Maria da Silva3112196900000000027                                                        Josefa Pereira01000734.18060502202431122024000000000000000000000000858186PP86705704624920220000000
2100000000002801012022202223867182795                                                      Victor Czarnobay3112196900000000028                                                        Josefa Pereira01000666.25090502202431122024000000000000000000000000416170CC63554593563709720000000
2100000000002901012022202272430102519                                                        Josefa Pereira3112196900000000029                                                        Josefa Pereira01000234.15010502202431122024000000000000000000005555408341PP55857714109103230000000
2100000000003001012022202270847857001                                                      Joana dos Santos3112196900000000030                                                        Josefa Pereira01001045.23090502202431122024000000000000000000000000515743PP88900697127969010000000
2100000000003101012022202229478223292                                                      Joana dos Santos3112196900000000031                                                       Roberta Barbosa01000761.65050502202431122024000000000000000000005555178638CD79327699767083810000000
2100000000003201012022202261126169542                                                        Pedro Monteiro3112196900000000032                                                       Roberta Barbosa01000158.41110502202431122024000000000000000000000000447483CD57678288912760510000000
2100000000003301012022202211244723635                                                       Carlos Fabrício3112196900000000033                                                        Maria da Silva01000651.34030502202431122024000000000000000000000000374215PP27495756728694010000000
2100000000003401012022202222372113998                                                      Victor Czarnobay3112196900000000034                                                        Maria da Silva01000154.31100502202431122024000000000000000000005555309098PP23767245411498630000000
2100000000003501012022202252379019180                                                       Roberta Barbosa3112196900000000035                                                      Joana dos Santos01000876.44030502202431122024000000000000000000005555718664CC23358237869261720000000
2100000000003601012022202264362639421                                                          Alan Barbosa3112196900000000036                                                        Josefa Pereira01000108.22070502202431122024000000000000000000000000933757PP19080013180401820000000
2100000000003701012022202271360289606                                                        Josefa Pereira3112196900000000037                                                        Maria da Silva01000588.00080502202431122024000000000000000000005555139772CD66246399092936230000000
2100000000003801012022202208830649446                                                       Roberta Barbosa3112196900000000038                                                       Roberta Barbosa01000085.46030502202431122024000000000000000000005555564411CC34282141125852920000000
2100000000003901012022202269193429679                                                      Joana dos Santos3112196900000000039                                                        Maria da Silva01000341.53080502202431122024000000000000000000000000741686CC38107989832180120000000
2100000000004001012022202221900634843                                                        Josefa Pereira3112196900000000040                                                        Maria da Silva01000789.43100502202431122024000000000000000000005555966637PP77165059740534110000000
2100000000004101012022202266479282061                                                          Alan Barbosa3112196900000000041                                                      Joana dos Santos01000630.60070502202431122024000000000000000000005555108684CC00608947793240210000000
2100000000004201012022202243798312838                                                       Carlos Fabrício3112196900000000042                                                      Joana dos Santos01000564.18120502202431122024000000000000000000005555586192PP13530818923726030000000
2100000000004301012022202274119122907                                                     Cristiano Ronaldo3112196900000000043                                                        Josefa Pereira01000867.38030502202431122024000000000000000000005555652761PP40063958282498120000000
2100000000004401012022202260923146741                                                        Josefa Pereira3112196900000000044                                                        Maria da Silva01000023.03040502202431122024000000000000000000000000159502CD54720022544645620000000
2100000000004501012022202262143648027                                                     Cristiano Ronaldo3112196900000000045                                                        Maria da Silva01000724.13050502202431122024000000000000000000005555469943CC34346344664685520000000
2100000000004601012022202274344929722                                                        Maria da Silva3112196900000000046                                                        Maria da Silva01000012.09040502202431122024000000000000000000005555926725PP50806493687195310000000
2100000000004701012022202277427650847                                                        Maria da Silva3112196900000000047                                                       Roberta Barbosa01000728.96050502202431122024000000000000000000005555779119CC03491957844633020000000
2100000000004801012022202209448756897                                                       Roberta Barbosa3112196900000000048                                                      Joana dos Santos01000177.86070502202431122024000000000000000000000000375331PP74459754030046220000000
2100000000004901012022202264985892061                                                       Roberta Barbosa3112196900000000049                                                      Joana dos Santos01000179.78040502202431122024000000000000000000005555893062PP36355791020221530000000
2100000000005001012022202236599119194                                                        Maria da Silva3112196900000000050                                                       Roberta Barbosa01001029.69120502202431122024000000000000000000005555881246CD81485648763399030000000
2100000000005101012022202261333232903                                                          Alan Barbosa3112196900000000051                                                        Josefa Pereira01000928.69120502202431122024000000000000000000005555903660CD24552276840106330000000
2100000000005201012022202231781368885                                                       Carlos Fabrício3112196900000000052                                                       Roberta Barbosa01000318.93030502202431122024000000000000000000000000014343CD71262285992310520000000
2100000000005301012022202259273253737                                                      Joana dos Santos3112196900000000053                                                      Joana dos Santos01000118.54080502202431122024000000000000000000005555773908CC77060749310890210000000
2100000000005401012022202282338974923                                                        Josefa Pereira3112196900000000054                                                      Joana dos Santos01000242.40020502202431122024000000000000000000009999417750CD67151436939420930000000
2100000000005501012022202262086186287                                                       Roberta Barbosa3112196900000000055                                                        Maria da Silva01000889.25060502202431122024000000000000000000000000496236PP20677568644144110000000
2100000000005601012022202273197999075                                                       Roberta Barbosa3112196900000000056                                                       Roberta Barbosa01000730.34070502202431122024000000000000000000009999248505CC50505963511761010000000
2100000000005701012022202220440195120                                                        Josefa Pereira3112196900000000057                                                        Josefa Pereira01000105.88080502202431122024000000000000000000005555486639CD64794714099450320000000
2100000000005801012022202231778027103                                                      Victor Czarnobay3112196900000000058                                                        Josefa Pereira01001187.61050502202431122024000000000000000000000000455437PP54942995682857010000000
2100000000005901012022202255755960526                                                        Maria da Silva3112196900000000059                                                      Joana dos Santos01000933.43120502202431122024000000000000000000005555349302PP91593369731786230000000
2100000000006001012022202225690780468                                                          Alan Barbosa3112196900000000060                                                        Maria da Silva01000006.66060502202431122024000000000000000000005555661670PP49089438449442020000000
2100000000006101012022202289068644442                                                          Alan Barbosa3112196900000000061                                                        Maria da Silva01000487.95070502202431122024000000000000000000009999244601CC69740684894422330000000
2100000000006201012022202281897744061                                                     Cristiano Ronaldo3112196900000000062                                                       Roberta Barbosa01000587.65020502202431122024000000000000000000009999123229CC26532216370405020000000
2100000000006301012022202280067313493                                                      Victor Czarnobay3112196900000000063                                                        Maria da Silva01000837.62080502202431122024000000000000000000000000793782PP34937785665359810000000
2100000000006401012022202249381605686                                                      Joana dos Santos3112196900000000064                                                        Maria da Silva01000747.23060502202431122024000000000000000000009999283390CD65354238110769130000000
2100000000006501012022202298163458943                                                       Carlos Fabrício3112196900000000065                                                       Roberta Barbosa01000168.18110502202431122024000000000000000000009999005090CD03547502867802610000000
2100000000006601012022202242126673126                                                      Joana dos Santos3112196900000000066                                                        Maria da Silva01001002.18060502202431122024000000000000000000005555506210CC35446456786927530000000
2100000000006701012022202290953490289                                                        Josefa Pereira3112196900000000067                                                      Joana dos Santos01000155.82110502202431122024000000000000000000009999700410CC96356653377802510000000
2100000000006801012022202284172409063                                                       Carlos Fabrício3112196900000000068                                                        Maria da Silva01000129.38050502202431122024000000000000000000000000381525CC37273357687061930000000
2100000000006901012022202264515114839                                                       Roberta Barbosa3112196900000000069                                                       Roberta Barbosa01000265.03110502202431122024000000000000000000009999236806CC27854283451069420000000
2100000000007001012022202210794271178                                                       Carlos Fabrício3112196900000000070                                                        Josefa Pereira01000952.71110502202431122024000000000000000000009999569233CC41654088342917210000000
2100000000007101012022202232276793294                                                       Carlos Fabrício3112196900000000071                                                      Joana dos Santos01000500.50020502202431122024000000000000000000005555919920PP75238960909262210000000
2100000000007201012022202229919549858                                                      Victor Czarnobay3112196900000000072                                                      Joana dos Santos01000178.12100502202431122024000000000000000000005555129591PP20049169826465420000000
2100000000007301012022202208484271042                                                      Joana dos Santos3112196900000000073                                                        Maria da Silva01000199.35070502202431122024000000000000000000000000328421CD84158723047185630000000
2100000000007401012022202285826849894                                                          Alan Barbosa3112196900000000074                                                      Joana dos Santos01000794.97110502202431122024000000000000000000000000006914PP06123506988740030000000
2100000000007501012022202275301039686                                                        Pedro Monteiro3112196900000000075                                                        Maria da Silva01000109.58040502202431122024000000000000000000000000403682CC48822538622636120000000
2100000000007601012022202234651573371                                                      Joana dos Santos3112196900000000076                                                       Roberta Barbosa01000004.83040502202431122024000000000000000000009999455706CD50227962129162220000000
2100000000007701012022202200894166265                                                      Victor Czarnobay3112196900000000077                                                       Roberta Barbosa01000366.19080502202431122024000000000000000000005555620741PP35687774976236130000000
2100000000007801012022202254347408925                                                        Josefa Pereira3112196900000000078                                                       Roberta Barbosa01000301.21060502202431122024000000000000000000000000913242CC40531279438665120000000
2100000000007901012022202253096340033                                                      Victor Czarnobay3112196900000000079                                                        Josefa Pereira01000057.25090502202431122024000000000000000000009999757262PP70735899615409730000000
2100000000008001012022202276485766854                                                       Carlos Fabrício3112196900000000080                                                        Maria da Silva01000219.98120502202431122024000000000000000000000000213019PP24982851865848330000000
2100000000008101012022202244361035705                                                       Roberta Barbosa3112196900000000081                                                      Joana dos Santos01001044.13090502202431122024000000000000000000009999167806CC62463179900525020000000
2100000000008201012022202219614946080                                                       Carlos Fabrício3112196900000000082                                                        Maria da Silva01000414.19030502202431122024000000000000000000000000287745PP21070318580426110000000
2100000000008301012022202287322512460                                                      Joana dos Santos3112196900000000083                                                      Joana dos Santos01001011.02040502202431122024000000000000000000000000129125CD89516212055086230000000
2100000000008401012022202241138894534                                                        Maria da Silva3112196900000000084                                                       Roberta Barbosa01000224.83120502202431122024000000000000000000005555492193PP15403678806561020000000
2100000000008501012022202276605755817                                                      Joana dos Santos3112196900000000085                                                      Joana dos Santos01000264.71080502202431122024000000000000000000005555126668CD99869018662134610000000
2100000000008601012022202279804796083                                                     Cristiano Ronaldo3112196900000000086                                                       Roberta Barbosa01000014.31010502202431122024000000000000000000005555841468PP23446717990822510000000
2100000000008701012022202241268318425                                                       Roberta Barbosa3112196900000000087                                                      Joana dos Santos01000425.96030502202431122024000000000000000000000000074539CC99952141657474830000000
2100000000008801012022202270123779069                                                      Joana dos Santos3112196900000000088                                                      Joana dos Santos01000400.38090502202431122024000000000000000000009999529463PP25028757230286020000000
2100000000008901012022202266200036054                                                       Carlos Fabrício3112196900000000089                                                        Josefa Pereira01000090.78050502202431122024000000000000000000005555339045PP81271365997158810000000
2100000000009001012022202231230639116                                                     Cristiano Ronaldo3112196900000000090                                                        Maria da Silva01000178.38010502202431122024000000000000000000009999100851CD54583247199038820000000
2100000000009101012022202285863938395                                                        Josefa Pereira3112196900000000091                                                        Josefa Pereira01000462.59060502202431122024000000000000000000000000532102PP22035423575914330000000
2100000000009201012022202274018824728                                                       Carlos Fabrício3112196900000000092                                                      Joana dos Santos01000180.59100502202431122024000000000000000000009999863042PP11505601785035620000000
2100000000009301012022202281232396926                                                          Alan Barbosa3112196900000000093                                                       Roberta Barbosa01001142.77100502202431122024000000000000000000005555138467CC25674969953383830000000
2100000000009401012022202260045877058                                                        Josefa Pereira3112196900000000094                                                        Josefa Pereira01000399.52010502202431122024000000000000000000005555458971PP16513582035492220000000
2100000000009501012022202258265902642                                                     Cristiano Ronaldo3112196900000000095                                                        Maria da Silva01000323.42120502202431122024000000000000000000009999929763CC95195908075218120000000
2100000000009601012022202258532253750                                                       Carlos Fabrício3112196900000000096                                                        Maria da Silva01000938.73050502202431122024000000000000000000005555025861CD87380599050703620000000
2100000000009701012022202239363581886                                                        Pedro Monteiro3112196900000000097                                                        Maria da Silva01001156.51050502202431122024000000000000000000000000274982PP90966805977492820000000
