1106022024446954311ARQUIVOCAIXA                                      1234500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2100000000000101012022202295647648163Alan Barbosa                                                          3112196900000000001Roberta Barbosa                                                       01000794.53100502202431122024000000000000000000009999291183PP15512842877583910000000
2100000000000201012022202212198169631Victor Czarnobay                                                      3112196900000000002Joana dos Santos                                                      01000064.91030502202431122024000000000000000000000000244842CC33910823679995710000000
2100000000000301012022202236787167523Pedro Monteiro                                                        3112196900000000003Roberta Barbosa                                                       01000578.79110502202431122024000000000000000000009999167907PP44450876935050020000000
2100000000000401012022202249489235788Joana dos Santos                                                      3112196900000000004Josefa Pereira                                                        01000026.71050502202431122024000000000000000000005555032816CD56864399120206810000000
2100000000000501012022202230714052278Carlos Fabrício                                                       3112196900000000005Josefa Pereira                                                        01001038.37060502202431122024000000000000000000000000130507CD20373172581459330000000
2100000000000601012022202233380777149Alan Barbosa                                                          3112196900000000006Josefa Pereira                                                        01000214.43050502202431122024000000000000000000000000567998PP80893782046437210000000
2100000000000701012022202231589952496Carlos Fabrício                                                       3112196900000000007Josefa Pereira                                                        01001030.08050502202431122024000000000000000000005555705164CC43794858550359820000000
2100000000000801012022202279867544938Maria da Silva                                                        3112196900000000008Josefa Pereira                                                        01000575.97100502202431122024000000000000000000009999768260PP12535584104642630000000
2100000000000901012022202295217509893Roberta Barbosa                                                       3112196900000000009Maria da Silva                                                        01000463.63090502202431122024000000000000000000005555499921CD51514611579619230000000
2100000000001001012022202297072492719Joana dos Santos                                                      3112196900000000010Maria da Silva                                                        01000127.13080502202431122024000000000000000000009999703897CC48269104869897310000000
2100000000001101012022202288687511928Carlos Fabrício                                                       3112196900000000011Roberta Barbosa                                                       01000036.83120502202431122024000000000000000000000000221358PP08210344101807530000000
2100000000001201012022202247901540256Carlos Fabrício                                                       3112196900000000012Josefa Pereira                                                        01000310.84010502202431122024000000000000000000009999942465PP10470040569977210000000
2100000000001301012022202276597808529Roberta Barbosa                                                       3112196900000000013Joana dos Santos                                                      01000090.75060502202431122024000000000000000000000000969901CD49160585689338810000000
2100000000001401012022202262653212579Pedro Monteiro                                                        3112196900000000014Maria da Silva                                                        01000456.17010502202431122024000000000000000000009999732858PP77162776184273110000000
2100000000001501012022202203679347134Cristiano Ronaldo                                                     3112196900000000015Josefa Pereira                                                        01000331.98110502202431122024000000000000000000009999424260PP19716881927598120000000
2100000000001601012022202258945868681Alan Barbosa                                                          3112196900000000016Maria da Silva                                                        01001012.18060502202431122024000000000000000000000000413262PP93600814928854610000000
2100000000001701012022202292502629024Carlos Fabrício                                                       3112196900000000017Roberta Barbosa                                                       01000670.55050502202431122024000000000000000000005555887359CD68885753403484230000000
2100000000001801012022202246081877939Victor Czarnobay                                                      3112196900000000018Josefa Pereira                                                        01000316.43020502202431122024000000000000000000009999999683PP10048999879545910000000
2100000000001901012022202222359948242Josefa Pereira                                                        3112196900000000019Maria da Silva                                                        01000101.12030502202431122024000000000000000000009999297831CC38250141494915730000000
2100000000002001012022202252574745698Alan Barbosa                                                          3112196900000000020Josefa Pereira                                                        01000540.90090502202431122024000000000000000000009999904530CD55983139464039310000000
2100000000002101012022202266673392388Victor Czarnobay                                                      3112196900000000021Roberta Barbosa                                                       01000871.81110502202431122024000000000000000000009999974882CD22847082677239910000000
2100000000002201012022202265396382005Josefa Pereira                                                        3112196900000000022Roberta Barbosa                                                       01000857.40020502202431122024000000000000000000005555785997CD96090658596625230000000
2100000000002301012022202257979935349Alan Barbosa                                                          3112196900000000023Josefa Pereira                                                        01000991.56030502202431122024000000000000000000005555726543CC81228621195315610000000
2100000000002401012022202278427201926Victor Czarnobay                                                      3112196900000000024Josefa Pereira                                                        01000208.93020502202431122024000000000000000000000000869419CC85490382887330310000000
2100000000002501012022202255923362583Maria da Silva                                                        3112196900000000025Maria da Silva                                                        01000210.78040502202431122024000000000000000000005555099998PP24156105086922820000000
2100000000002601012022202242870777957Roberta Barbosa                                                       3112196900000000026Josefa Pereira                                                        01000584.85020502202431122024000000000000000000000000946176PP30705125593492430000000
2100000000002701012022202262699604071Maria da Silva                                                        3112196900000000027Josefa Pereira                                                        01000734.18060502202431122024000000000000000000000000858186PP86705704624920220000000
2100000000002801012022202223867182795Victor Czarnobay                                                      3112196900000000028Josefa Pereira                                                        01000666.25090502202431122024000000000000000000000000416170CC63554593563709720000000
2100000000002901012022202272430102519Josefa Pereira                                                        3112196900000000029Josefa Pereira                                                        01000234.15010502202431122024000000000000000000005555408341PP55857714109103230000000
2100000000003001012022202270847857001Joana dos Santos                                                      3112196900000000030Josefa Pereira                                                        01001045.23090502202431122024000000000000000000000000515743PP88900697127969010000000
2100000000003101012022202229478223292Joana dos Santos                                                      3112196900000000031Roberta Barbosa                                                       01000761.65050502202431122024000000000000000000005555178638CD79327699767083810000000
2100000000003201012022202261126169542Pedro Monteiro                                                        3112196900000000032Roberta Barbosa                                                       01000158.41110502202431122024000000000000000000000000447483CD57678288912760510000000
2100000000003301012022202211244723635Carlos Fabrício                                                       3112196900000000033Maria da Silva                                                        01000651.34030502202431122024000000000000000000000000374215PP27495756728694010000000
2100000000003401012022202222372113998Victor Czarnobay                                                      3112196900000000034Maria da Silva                                                        01000154.31100502202431122024000000000000000000005555309098PP23767245411498630000000
2100000000003501012022202252379019180Roberta Barbosa                                                       3112196900000000035Joana dos Santos                                                      01000876.44030502202431122024000000000000000000005555718664CC23358237869261720000000
2100000000003601012022202264362639421Alan Barbosa                                                          3112196900000000036Josefa Pereira                                                        01000108.22070502202431122024000000000000000000000000933757PP19080013180401820000000
2100000000003701012022202271360289606Josefa Pereira                                                        3112196900000000037Maria da Silva                                                        01000588.00080502202431122024000000000000000000005555139772CD66246399092936230000000
2100000000003801012022202208830649446Roberta Barbosa                                                       3112196900000000038Roberta Barbosa                                                       01000085.46030502202431122024000000000000000000005555564411CC34282141125852920000000
2100000000003901012022202269193429679Joana dos Santos                                                      3112196900000000039Maria da Silva                                                        01000341.53080502202431122024000000000000000000000000741686CC38107989832180120000000
2100000000004001012022202221900634843Josefa Pereira                                                        3112196900000000040Maria da Silva                                                        01000789.43100502202431122024000000000000000000005555966637PP77165059740534110000000
2100000000004101012022202266479282061Alan Barbosa                                                          3112196900000000041Joana dos Santos                                                      01000630.60070502202431122024000000000000000000005555108684CC00608947793240210000000
2100000000004201012022202243798312838Carlos Fabrício                                                       3112196900000000042Joana dos Santos                                                      01000564.18120502202431122024000000000000000000005555586192PP13530818923726030000000
2100000000004301012022202274119122907Cristiano Ronaldo                                                     3112196900000000043Josefa Pereira                                                        01000867.38030502202431122024000000000000000000005555652761PP40063958282498120000000
2100000000004401012022202260923146741Josefa Pereira                                                        3112196900000000044Maria da Silva                                                        01000023.03040502202431122024000000000000000000000000159502CD54720022544645620000000
2100000000004501012022202262143648027Cristiano Ronaldo                                                     3112196900000000045Maria da Silva                                                        01000724.13050502202431122024000000000000000000005555469943CC34346344664685520000000
2100000000004601012022202274344929722Maria da Silva                                                        3112196900000000046Maria da Silva                                                        01000012.09040502202431122024000000000000000000005555926725PP50806493687195310000000
2100000000004701012022202277427650847Maria da Silva                                                        3112196900000000047Roberta Barbosa                                                       01000728.96050502202431122024000000000000000000005555779119CC03491957844633020000000
2100000000004801012022202209448756897Roberta Barbosa                                                       3112196900000000048Joana dos Santos                                                      01000177.86070502202431122024000000000000000000000000375331PP74459754030046220000000
2100000000004901012022202264985892061Roberta Barbosa                                                       3112196900000000049Joana dos Santos                                                      01000179.78040502202431122024000000000000000000005555893062PP36355791020221530000000
2100000000005001012022202236599119194Maria da Silva                                                        3112196900000000050Roberta Barbosa                                                       01001029.69120502202431122024000000000000000000005555881246CD81485648763399030000000
2100000000005101012022202261333232903Alan Barbosa                                                          3112196900000000051Josefa Pereira                                                        01000928.69120502202431122024000000000000000000005555903660CD24552276840106330000000
2100000000005201012022202231781368885Carlos Fabrício                                                       3112196900000000052Roberta Barbosa                                                       01000318.93030502202431122024000000000000000000000000014343CD71262285992310520000000
2100000000005301012022202259273253737Joana dos Santos                                                      3112196900000000053Joana dos Santos                                                      01000118.54080502202431122024000000000000000000005555773908CC77060749310890210000000
2100000000005401012022202282338974923Josefa Pereira                                                        3112196900000000054Joana dos Santos                                                      01000242.40020502202431122024000000000000000000009999417750CD67151436939420930000000
2100000000005501012022202262086186287Roberta Barbosa                                                       3112196900000000055Maria da Silva                                                        01000889.25060502202431122024000000000000000000000000496236PP20677568644144110000000
2100000000005601012022202273197999075Roberta Barbosa                                                       3112196900000000056Roberta Barbosa                                                       01000730.34070502202431122024000000000000000000009999248505CC50505963511761010000000
2100000000005701012022202220440195120Josefa Pereira                                                        3112196900000000057Josefa Pereira                                                        01000105.88080502202431122024000000000000000000005555486639CD64794714099450320000000
2100000000005801012022202231778027103Victor Czarnobay                                                      3112196900000000058Josefa Pereira                                                        01001187.61050502202431122024000000000000000000000000455437PP54942995682857010000000
2100000000005901012022202255755960526Maria da Silva                                                        3112196900000000059Joana dos Santos                                                      01000933.43120502202431122024000000000000000000005555349302PP91593369731786230000000
2100000000006001012022202225690780468Alan Barbosa                                                          3112196900000000060Maria da Silva                                                        01000006.66060502202431122024000000000000000000005555661670PP49089438449442020000000
2100000000006101012022202289068644442Alan Barbosa                                                          3112196900000000061Maria da Silva                                                        01000487.95070502202431122024000000000000000000009999244601CC69740684894422330000000
2100000000006201012022202281897744061Cristiano Ronaldo                                                     3112196900000000062Roberta Barbosa                                                       01000587.65020502202431122024000000000000000000009999123229CC26532216370405020000000
2100000000006301012022202280067313493Victor Czarnobay                                                      3112196900000000063Maria da Silva                                                        01000837.62080502202431122024000000000000000000000000793782PP34937785665359810000000
2100000000006401012022202249381605686Joana dos Santos                                                      3112196900000000064Maria da Silva                                                        01000747.23060502202431122024000000000000000000009999283390CD65354238110769130000000
2100000000006501012022202298163458943Carlos Fabrício                                                       3112196900000000065Roberta Barbosa                                                       01000168.18110502202431122024000000000000000000009999005090CD03547502867802610000000
2100000000006601012022202242126673126Joana dos Santos                                                      3112196900000000066Maria da Silva                                                        01001002.18060502202431122024000000000000000000005555506210CC35446456786927530000000
2100000000006701012022202290953490289Josefa Pereira                                                        3112196900000000067Joana dos Santos                                                      01000155.82110502202431122024000000000000000000009999700410CC96356653377802510000000
2100000000006801012022202284172409063Carlos Fabrício                                                       3112196900000000068Maria da Silva                                                        01000129.38050502202431122024000000000000000000000000381525CC37273357687061930000000
2100000000006901012022202264515114839Roberta Barbosa                                                       3112196900000000069Roberta Barbosa                                                       01000265.03110502202431122024000000000000000000009999236806CC27854283451069420000000
2100000000007001012022202210794271178Carlos Fabrício                                                       3112196900000000070Josefa Pereira                                                        01000952.71110502202431122024000000000000000000009999569233CC41654088342917210000000
2100000000007101012022202232276793294Carlos Fabrício                                                       3112196900000000071Joana dos Santos                                                      01000500.50020502202431122024000000000000000000005555919920PP75238960909262210000000
2100000000007201012022202229919549858Victor Czarnobay                                                      3112196900000000072Joana dos Santos                                                      01000178.12100502202431122024000000000000000000005555129591PP20049169826465420000000
2100000000007301012022202208484271042Joana dos Santos                                                      3112196900000000073Maria da Silva                                                        01000199.35070502202431122024000000000000000000000000328421CD84158723047185630000000
2100000000007401012022202285826849894Alan Barbosa                                                          3112196900000000074Joana dos Santos                                                      01000794.97110502202431122024000000000000000000000000006914PP06123506988740030000000
2100000000007501012022202275301039686Pedro Monteiro                                                        3112196900000000075Maria da Silva                                                        01000109.58040502202431122024000000000000000000000000403682CC48822538622636120000000
2100000000007601012022202234651573371Joana dos Santos                                                      3112196900000000076Roberta Barbosa                                                       01000004.83040502202431122024000000000000000000009999455706CD50227962129162220000000
2100000000007701012022202200894166265Victor Czarnobay                                                      3112196900000000077Roberta Barbosa                                                       01000366.19080502202431122024000000000000000000005555620741PP35687774976236130000000
2100000000007801012022202254347408925Josefa Pereira                                                        3112196900000000078Roberta Barbosa                                                       01000301.21060502202431122024000000000000000000000000913242CC40531279438665120000000
2100000000007901012022202253096340033Victor Czarnobay                                                      3112196900000000079Josefa Pereira                                                        01000057.25090502202431122024000000000000000000009999757262PP70735899615409730000000
2100000000008001012022202276485766854Carlos Fabrício                                                       3112196900000000080Maria da Silva                                                        01000219.98120502202431122024000000000000000000000000213019PP24982851865848330000000
2100000000008101012022202244361035705Roberta Barbosa                                                       3112196900000000081Joana dos Santos                                                      01001044.13090502202431122024000000000000000000009999167806CC62463179900525020000000
2100000000008201012022202219614946080Carlos Fabrício                                                       3112196900000000082Maria da Silva                                                        01000414.19030502202431122024000000000000000000000000287745PP21070318580426110000000
2100000000008301012022202287322512460Joana dos Santos                                                      3112196900000000083Joana dos Santos                                                      01001011.02040502202431122024000000000000000000000000129125CD89516212055086230000000
2100000000008401012022202241138894534Maria da Silva                                                        3112196900000000084Roberta Barbosa                                                       01000224.83120502202431122024000000000000000000005555492193PP15403678806561020000000
2100000000008501012022202276605755817Joana dos Santos                                                      3112196900000000085Joana dos Santos                                                      01000264.71080502202431122024000000000000000000005555126668CD99869018662134610000000
2100000000008601012022202279804796083Cristiano Ronaldo                                                     3112196900000000086Roberta Barbosa                                                       01000014.31010502202431122024000000000000000000005555841468PP23446717990822510000000
2100000000008701012022202241268318425Roberta Barbosa                                                       3112196900000000087Joana dos Santos                                                      01000425.96030502202431122024000000000000000000000000074539CC99952141657474830000000
2100000000008801012022202270123779069Joana dos Santos                                                      3112196900000000088Joana dos Santos                                                      01000400.38090502202431122024000000000000000000009999529463PP25028757230286020000000
2100000000008901012022202266200036054Carlos Fabrício                                                       3112196900000000089Josefa Pereira                                                        01000090.78050502202431122024000000000000000000005555339045PP81271365997158810000000
2100000000009001012022202231230639116Cristiano Ronaldo                                                     3112196900000000090Maria da Silva                                                        01000178.38010502202431122024000000000000000000009999100851CD54583247199038820000000
2100000000009101012022202285863938395Josefa Pereira                                                        3112196900000000091Josefa Pereira                                                        01000462.59060502202431122024000000000000000000000000532102PP22035423575914330000000
2100000000009201012022202274018824728Carlos Fabrício                                                       3112196900000000092Joana dos Santos                                                      01000180.59100502202431122024000000000000000000009999863042PP11505601785035620000000
2100000000009301012022202281232396926Alan Barbosa                                                          3112196900000000093Roberta Barbosa                                                       01001142.77100502202431122024000000000000000000005555138467CC25674969953383830000000
2100000000009401012022202260045877058Josefa Pereira                                                        3112196900000000094Josefa Pereira                                                        01000399.52010502202431122024000000000000000000005555458971PP16513582035492220000000
2100000000009501012022202258265902642Cristiano Ronaldo                                                     3112196900000000095Maria da Silva                                                        01000323.42120502202431122024000000000000000000009999929763CC95195908075218120000000
2100000000009601012022202258532253750Carlos Fabrício                                                       3112196900000000096Maria da Silva                                                        01000938.73050502202431122024000000000000000000005555025861CD87380599050703620000000
2100000000009701012022202239363581886Pedro Monteiro                                                        3112196900000000097Maria da Silva                                                        01001156.51050502202431122024000000000000000000000000274982PP90966805977492820000000
